,character,line,episode number
81,JERRY," Same as you can’t overwet. You see, once something is wet, it’s wet. Same thing with death. Like once you die you’re dead, right? Let’s say you drop dead and I shoot you. You’re not gonna die again, you’re already dead. You can’t overdie, you can’t overdry.",1
82,GEORGE,  Any questions?,1
83,JERRY, How could she not tell me where she was staying? ,1
84,GEORGE, Look at that. They’re done! ,1
85,JERRY," Laundry day is the only exciting day in the life of clothes. It is...y’know, think about it. The washing machine is the nightclub of clothes. You know, it’s dark, there’s bubbles happening, they’re all kinda dancing around in there- shirt grabs the underwear, “C’mon babe, let’s go”. You come by, you open up the lid and they’ll-  Socks are the most amazing article of clothing. They hate their lives, they’re in the shoes with stinky feet, the boring drawers. The dryer is their only chance to escape and they all know it. They knew a escape from the dryer. They plan it in the hamper the night before, “Tomorrow, the dryer, I’m goin’. You wait here!” The dryer door swings open and the sock is waiting up against the side wall. He hopes you don’t see him and then he goes down the road. They get buttons sewn on their faces, join a puppet show. So they’re showing me on television the detergent for getting out bloodstains. Is this a violent image to anybody? Bloodstains? I mean, come on, you got a T-shirt with bloodstains all over it, maybe laundry isn’t your biggest problem right now. You gotta get the harpoon out your chest first. ",1
86,JERRY,"  If you know what happened in the Met game, don’t say anything, I taped it, hello. Yeah, no, I’m sorry, you have the wrong number. Yeah, no ",1
87,JERRY,  Yeah?,1
88,KESSLER, Are you up?,1
89,JERRY,"  Yeah.  Yeah, people do move. Have you ever seen the big trucks out on the street? Yeah, no problem.",1
90,KESSLER," Boy, the Mets blew it tonight, huh? ",1
91,JERRY,"  Ohhhh, what are you doing? Kessler, it’s a tape! I taped the game, it’s one o’clock in the morning! I avoided human contact all night to watch this.",1
92,KESSLER," Hey, I’m sorry, I- you know, I, I thought you knew.  You got any meat?",1
93,JERRY," Meat? I don’t, I don’t know, go... hunt!  Well what happened in the game anyway?",1
94,KESSLER,"  What happened? Well, they STUNK, that’s what happened!",1
95,KESSLER," You know, I almost wound up going to that game.",1
96,JERRY,  Yeah you almost went to the game. You haven’t been out of the building in ten years!,1
97,KESSLER, Yeah.  Are you done with this?,1
98,JERRY, No.,1
99,KESSLER," When you’re done, let me know.",1
100,JERRY," Yeah, yeah...you can have it tomorrow.",1
101,KESSLER, I thought I wasn’t allowed to be in here this weekend.,1
102,JERRY," No, it’s okay now, that, that girl is not comin’. Uh, I misread the whole thing.",1
103,KESSLER, You want me to talk to her?,1
104,JERRY, I don’t think so.,1
105,KESSLER," Oh, I can be very persuasive. Do you know that I was almost... a lawyer.",1
106,JERRY," That close, huh?",1
107,KESSLER, You better believe it.,1
108,JERRY," Hello...Oh, hi, Laura.",1
109,KESSLER," Oh, give me it...let me talk to her.",1
110,JERRY,"  No believe me, I’m always up at this hour. How are you?... Great... Sure... What time does the plane get in?... I got my friend George to take me...",1
111,KESSLER,  SLIDE! Wow!,1
112,JERRY," No, it’s, it’s just my neighbour... Um... Yeah, I got it.  Ten-fifteen... No, don’t be silly, go ahead and ask... Yeah, sure... Okay, great, no no, it’s no trouble at all... I’ll see you tomorrow... Great, bye.  I don’t believe it. That was her. She wants to stay here! ",1
113,JERRY," If my father was moving this he’d had to have a cigarette in his mouth the whole way.  'Have you got your end?...Your end’s got to come down first, easy now, drop it down...drop it down, your end’s got to come down.'",1
114,GEORGE," You know, I can’t believe you’re bringin’ in an extra bed for woman that wants to sleep with you. Why don’t you bring in an extra guy too?",1
115,JERRY," Look, it’s a very awkward situation. I don’t wanna be presumptuous.",1
116,GEORGE," All right, all right, one more time, one more time! What was the exact phrasing of the request?",1
117,JERRY," All right, she said she couldn’t find a decent hotel room...",1
118,GEORGE, A decent hotel-room...,1
119,JERRY," Yeah, a decent hotel-room, would it be terribly inconvenient if she stayed at my place.",1
120,GEORGE," You can’t be serious. This is New York city. There must be eleven million decent hotel rooms! Whatta you need? A flag?  This is the signal, Jerry, this is the signal! ",1
121,JERRY,"  This is the signal? Thank you, Mr. Signal. Where were you yesterday?",1
122,GEORGE, I think I was affected by the caffeine. ,1
123,GEORGE," Ho, ho, ho, good dog, good dog...",1
124,KESSLER," Hey, he really likes you, George.",1
125,GEORGE," Well, that’s flattering. ",1
126,KESSLER," Oh, he’s gettin’ a drink of water.  Is this for that girl?",1
127,JERRY, Yeah.,1
128,KESSLER, Why even give her an option?,1
129,JERRY," This is a person I like, it’s not “How to score on spring break”.",1
130,GEORGE," Right, can we go? ‘Cause I’m double-parked, I’m gonna get a ticket.",1
131,JERRY," Yeah, okay. Oh, wait a second. Oh, I forgot to clean the bathroom.",1
132,GEORGE, So what? That’s good.,1
133,JERRY," Now, how could that be good?",1
134,GEORGE," Because filth is good. Whaddaya think, rock stars have sponges and ammonia lyin’ around the bathroom? They, have a woman comin’ over, “I’ve gotta tidy up?” Yeah right, in these matters you never do what your instincts tell you. Always, ALWAYS do the opposite.",1
135,JERRY, This is how you operate?,1
136,GEORGE," Yeah, I wish.",1
137,JERRY, Let me just wipe the sink.,1
138,KESSLER, Why even give her an option for? ,1
139,KESSLER,  It’s unbelievable.,1
140,GEORGE, Yeah.,1
141,KESSLER, How’s the real estate-business?,1
142,GEORGE,"  It’s uh, not bad, it’s comin’ along. Why? Did you need something.",1
143,KRAMER, Do you handle any of that commercial...real estate?,1
144,GEORGE," Well, I might be getting into that.",1
145,KESSLER,  You keep me posted!,1
146,GEORGE," I’m aware of you.  All right, let’s go  Let’s go!",1
147,JERRY," The dating world is not a fun world...it’s a pressure world, it’s a world of tension, it’s a world of pain...and you know, if a woman comes over to my house, I gotta get that bathroom ready, ‘cause she needs things. Women need equipment. I don’t know what they need. I know I don’t have it, I know that- You know what they need, women seem to need a lot of cotton-balls. This is the one I’m- always has been one of the amazing things to me...I have no cotton-balls, we’re all human beings, what is the story? I’ve never had one...I never bought one, I never needed one, I’ve never been in a situation, when I thought to myself",1
148,JERRY, Wouldn’t it be great if you could ask a woman what she’s thinking?,1
149,GEORGE," What a world that would be, if you just could ask a woman what she’s thinkin’.",1
150,JERRY," You know, instead, I’m like a detective. I gotta pick up clues, the whole thing is a murder investigation.",1
151,GEORGE," Listen, listen, don’t get worked up, ‘cause you’re gonna know the whole story the minute she steps off the plane.",1
152,JERRY, Really? How?,1
153,GEORGE, ‘Cause it’s all in the greeting. ,1
154,JERRY, Uh-huh.,1
155,GEORGE," All right, if she puts the bags down before she greets you, that’s a good sign.",1
156,JERRY, Right.,1
157,GEORGE," You know, anything in the, in the lip area is good.",1
158,JERRY, Lip area.,1
159,GEORGE, You know a hug,1
160,JERRY, Hug is definitely good.,1
161,GEORGE, Sure.,1
162,JERRY," Although what if it’s one of those hugs where the shoulders are touching, the hips are eight feet apart?",1
163,GEORGE," That’s so brutal, I hate that.",1
164,JERRY, You know how they do that?,1
165,GEORGE," That’s why, you know, a shake is bad.",1
166,JERRY," Shake is bad, but what if it’s the two-hander? The hand on the bottom, the hand on the top, the warm look in the eyes?",1
167,GEORGE, Hand sandwich.,1
168,JERRY, Right.,1
169,GEORGE," I see, well, that’s open to interpretation. Because so much depends on the layering and the quality of the wetness in the eyes. ",1
170,LAURA, Guess who?,1
171,JERRY," Hey, hey.",1
172,JERRY, It’s good to see you.,1
173,LAURA, Hi.,1
174,JERRY, This is my friend George.,1
175,LAURA," Hi, how nice to meet you.",1
176,GEORGE," Hi, how are you?",1
177,JERRY, This is Laura.,1
178,GEORGE," Laura, sure.",1
179,JERRY,  I can’t believe you’re here.,1
180,LAURA," Oh, thank you.",1
181,JERRY,"  Now that was an interesting greeting, did you notice that, George?",1
182,GEORGE," Yes, the surprise blindfold greeting. That wasn’t in the manual, I don’t know.",1
183,JERRY," So uh, what do you think?",1
184,LAURA," Ooohhh, wow! This place isn’t so bad.",1
185,JERRY," Yeah, it kind a motivates me to work on the road. So uh, make yourself at home.  So uh, can I get you anything? Uuhhh, bread, water...salad-dressing?",1
186,LAURA,"  Actually, um, do you have any wine?",1
187,JERRY," Uh, yeah, I think I do.",1
188,LAURA,"  Oh, do you mind if I turn this down?",1
189,JERRY," Uh, no, yeah, go right ahead.",1
190,LAURA," Uh, Jerry, uh, I was wandering, would it be possible – and if it’s not, fine – for me to stay here tomorrow night too?",1
191,JERRY," Uh, yeah, yeah, sure, why don’t you stay? Yeah, uhm...What is your, what is your schedule for tomorrow? Are you, are you doin’ anything?",1
192,LAURA," No, I’d love to do something. Uh, I have my seminar in the morning, then after that I’m right open.",1
193,JERRY, Really? What would you like to do?,1
194,LAURA," Well... now I know this sounds touristy, but I’d just love to go on one of those five-hour boat rides around Manhattan.",1
195,JERRY,"  Yeah, we could do that...why not, why not.  I’m just, I’m really glad you’re here.",1
196,JERRY,"  Yeah, hello...yes...yes, she is, hold on.  Um, it’s for you.",1
197,LAURA,"  Hello?... Hi!... No no it was great, right on time... No, I, I’m gonna stay here tomorrow...yes, yes it’s fine... No, we’re goin’ on a boat ride... Don’t be silly... I’m not gonna have this conversation... Look, I’ll call you tomorrow... Okay, bye.  Never get engaged.",1
198,JERRY,  You’re engaged?,1
199,LAURA," You, you really have no idea what it’s like until you actually do it. And I’m on this emotional roller coaster.",1
200,JERRY, You’re engaged? ,1
201,LAURA," You know, I can’t believe it myself sometimes. You have to start thinking in terms of “we”. Ugh, it’s a very stressful situation.",1
202,JERRY,  You’re engaged. ,1
203,LAURA," Yeah, yeah, he’s a great guy...",1
204,JERRY, Yeah.,1
205,LAURA," You’d really like him, you know, I can’t wait to get on that boat.",1
206,JERRY, Me too!,1
207,JERRY," I swear, I have absolutely no idea what women are thinking. I don’t get it, okay? I, I, I admit, I, I’m not getting the signals. I am not getting it! Women, they’re so subtle, their little...everything they do is subtle. Men are not subtle, we are obvious. Women know what men want, men know what men want, what do we want? We want women, that’s it! It’s the only thing we know for sure, it really is. We want women. How do we get them? Oh, we don’t know ‘bout that, we don’t know. The next step after that we have no idea. This is why you see men honking car-horns, yelling from construction sites. These are the best ideas we’ve had so far. The car-horn honk, is that a beauty? Have you seen men doing this? What is this? The man is in the car, the woman walks by the front of the car, he honks. E-eeehh, eehhh, eehhh! This man is out of ideas. How does it...? E-e-e-eeeehhhh! “I don’t think she likes me.” The amazing thing is, that we still get women, don’t we? Men, I mean, men are with women. You see men with women. How are men getting women, many people wonder. Let me tell you a little bit about our organization. Wherever women are, we have a man working on the situation right now. Now, he may not be our best man, okay, we have a lot of areas to cover, but someone from our staff is on the scene. That’s why, I think, men get frustrated, when we see women reading articles, like",1
208,JERRY," So, I’m on line at the supermarket. Two women in front of me. One of them, her total was eight dollars, the other three dollars. They both of course choose to pay by the use of the...",2
209,JERRY," Cheque. Now, the fact is, if it’s a woman in front of you that’s writing the cheque, you will not be waiting long. I have noticed that women are very fast with cheques, y’know, ‘cause they write out so many cheques. The keys, they can never find in their purse, they don’t know where that is, but the cheque book",2
210,ELAINE, “Coccoon II,2
211,JERRY," Maybe they came back for Chinese food. Y’know Maureen Stapleton, if she gets a craving, she’s probably screamin’ at those aliens, “I gotta have a lo mein!”",2
212,ELAINE," Okay, what’re we doing here? I have seen everything.",2
213,JERRY, Oh yeah? I don’t believe you’ve seen... this.,2
214,ELAINE," Oh, lovely.",2
215,JERRY, Yeah.,2
216,ELAINE, What do you think their parents think?,2
217,JERRY," “So, uh, what’s your son doing now, Dr. Stevens?” “Oh, he’s a public fornicator. Yes, he’s a fine boy...”",2
218,ELAINE, Y’know what? This would be a really funny gift for Pamela’s birthday.,2
219,JERRY, Pamela? Do I know her?,2
220,ELAINE," Yeah, you met her when we were going out.",2
221,JERRY," Oh yeah, right...",2
222,ELAINE," You have no idea who I’m talking about, do you?",2
223,JERRY,  No.,2
224,ELAINE," Blonde hair, remember? Glasses?  Have you totally blocked out the entire time we were a couple?",2
225,JERRY,  Riverside Drive.,2
226,ELAINE," Right! In fact... No, never mind...",2
227,JERRY," Well, what is it?",2
228,ELAINE," Well, a bunch of people are getting together tomorrow night at some bar for her birthday, but...  you don’t want to go to... that... no.",2
229,JERRY," Wait a second, wait a second. We could work out a little deal here.",2
230,ELAINE, What little deal?,2
231,JERRY," I will go to that, if you go with me to a little family wedding I have on Saturday.",2
232,ELAINE," A wedding? Have you lost it, man?",2
233,JERRY," Y’know, my parents are coming in for this...",2
234,ELAINE, They’re coming in?,2
235,JERRY," Yeah, tomorrow.",2
236,ELAINE," Hey, did your father ever get that hair weave?",2
237,JERRY," No, no. Still doin’ the big sweep across.",2
238,ELAINE, Why does he do that?,2
239,JERRY," Doesn’t think anyone can tell. So c’mon, do we have a deal?",2
240,ELAINE, A wedding?,2
241,JERRY, There’s a lot of people to mock...,2
242,ELAINE," All right, what the hell.",2
243,JERRY, Great!,2
244,WOMAN," When you’re dead, you’re dead. That’s it. You’re not goin’ anywhere...",2
245,ELAINE, C’mon lets go...,2
246,JERRY, Was I supposed to bring something?,2
247,ELAINE, You could have.,2
248,JERRY, I met her one time...,2
249,ELAINE, It is not necessary.,2
250,JERRY, What did you say then?,2
251,ELAINE, Sssshhhhhh!!!,2
252,PAMELA, Hi,2
253,ELAINE," Hi, Pamela, you remember Jerry.",2
254,PAMELA,"  Yes, we met.",2
255,JERRY," Hi, happy birthday.",2
256,PAMELA," Thanks, ah, everybody, this is Elaine and Jerry.",2
257,JERRY, I didn’t bring anything.,2
258,PAMELA," Uh, I put you two right here.",2
259,JERRY," Oh, Okay  I’m sorry, I didn’t know what to bring, nobody told me.",2
260,VANESSA, How big a tip do you think it’d take to get him to stop?,2
261,JERRY, I’m in for five...,2
262,VANESSA, I’ll supply the hat.,2
263,JERRY,  Uh-oh... What do we have here?,2
264,VANESSA, Why don’t you relax and take your jacket off?,2
265,JERRY," Oh, I can’t. Uh, I have a tendency to get chilly.",2
266,VANESSA, How masculine.,2
267,JERRY," Plus I’m wearing short sleeves, I don’t want to expose my tattoos.  She’s unbelievable!",2
268,ROGER,"  Hey, this guy says he knows Bricker.",2
269,VANESSA," Oh, you know Bricker! From where?",2
270,JERRY,"  What’s going on here? Gotta be her boyfriend, she’s too good to be alone. What’s the difference, I can’t maneouver anyway with Elaine next to me.",2
271,VANESSA,  How do you know Pamela?,2
272,JERRY," Uh, friend of a friend. And you?",2
273,VANESSA, We went to law school together.,2
274,ELAINE,"  Oh, Jerry!",2
275,JERRY,"  Oh no, not now.",2
276,ELAINE, I had this dream last night and you were in it.,2
277,JERRY," Oh really?  Oh God, I gotta get out of this.",2
278,ELAINE," You were you, but, you weren’t you...",2
279,JERRY," No kidding.  Why is this happening? Please, make her stop!",2
280,ELAINE," I think, I think we were in my house where I grew up, and you were standing there, you were looking out the window...",2
281,JERRY,  This is brutal.,2
282,ELAINE, You turned around and you had these wooden teeth.,2
283,JERRY," How do you like that? Can I turn now? Is this over? No, I can’t, I can’t. I’m stuck.",2
284,ELAINE,  Jerry? Are you listening to me?,2
285,JERRY," Yes, I heard you.",2
286,PAMELA," Elaine, what’s the name of that jewelry store you took me to that time?",2
287,JERRY,"  Thank you, Pamela!  So, you’re a lawyer...",2
288,VANESSA," Sagman, Bennet, Robbins, Oppenheim and Taft.",2
289,JERRY,"  Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft...  Of course, they handled my tattoo removal lawsuit.",2
290,VANESSA," Oh, that was you?",2
291,JERRY," Imagine, spelling “Mom” with two O’s.",2
292,VANESSA, Very funny! What do you do?,2
293,JERRY, Comedian.,2
294,VANESSA, Really? That explains it.,2
295,JERRY,"  Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft.",2
296,ROGER, Are you ready?,2
297,VANESSA, We gotta run. Happy birthday!,2
298,JERRY,"  I can’t believe it. I got nothing! I don’t even know her name! Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppen... Sagman... Sag...",2
299,JERRY," That wasn’t so bad, really.",2
300,ELAINE," Y’know, um, you could use a little work on your manners.",2
301,JERRY, Why? What did I do?,2
302,ELAINE," Wel-Well, I just don’t appreciate these little courtesy responses, like I’m selling you aluminum siding.",2
303,JERRY, I was listening!,2
304,ELAINE, No! You couldn’t wait to get back to your little... “conversation”.,2
305,JERRY," No, you were talking about the, the um, the dream you had.",2
306,ELAINE, Uh-huh...,2
307,JERRY," Where you had, uh, wooden teeth.",2
308,ELAINE," No! No! You had wooden teeth! You had wooden teeth! I didn’t have wooden teeth, you did!",2
309,JERRY," All right, so I had wooden teeth, so what?",2
310,ELAINE, So nothing! Nothing. ,2
311,JERRY," Apparently Plato, who came up with the concept of the platonic relationship, was pretty excited about it. He named it after himself. He said, “Yeah, I got this new thing",2
312,JERRY, Hey!,2
313,MORTY," Ah, there he is!",2
314,JERRY," This is what I like, see? You come home and your parents are in your bed!",2
315,HELEN," Y’know, Jerry, we don’t have to do this.",2
316,JERRY," What are you talkin’ about? It’s fine, I love having you here.",2
317,HELEN, Tomorrow we’ll go to a hotel.,2
318,JERRY," Ma, will you stop?",2
319,HELEN," No, why should we take over your apartment?",2
320,JERRY, I don’t care. I’m sleeping next door.,2
321,HELEN, Your friend Kramer doesn’t mind?,2
322,JERRY," No, he’s making a bouillabaisse.",2
323,JERRY," So, dad, lemme ask you a question. How many people work at these big law offices?",2
324,MORTY, Depends on the firm.,2
325,JERRY," Yeah, but if you called up and described someone, do you think they would know who it was?",2
326,MORTY, What’s the matter? You need a lawyer?,2
327,JERRY," No, I met someone at this party, and I know where she works, but I don’t know her name.",2
328,MORTY, So why don’t you ask someone who was at the party?,2
329,JERRY," Nah, the only one I could ask is Elaine, and I can’t ask her.",2
330,HELEN, Why not?,2
331,JERRY, Because it’s complicated. There’s some tension there.,2
332,HELEN, He used to go with her.,2
333,HELEN, Which one is she?,2
334,MORTY, From Maryland. The one who brought you the chocolate covered cherries you didn’t like.,2
335,HELEN," Oh yeah, very alert. Warm person.",2
336,JERRY," Oh yeah, she’s great.",2
337,HELEN," So, how come nothing materialized there?",2
338,JERRY," Well, it’s a tough thing to talk about uh. I dunno...",2
339,HELEN, I know what it was.,2
340,JERRY, You don’t know what it was.,2
341,HELEN," So, what was it?",2
342,JERRY," Well, we fight a lot for some reason.",2
343,JERRY, And there was a little problem with the physical chemistry.,2
344,HELEN," Well, I think she’s a very attractive girl.",2
345,JERRY," Oh, she is, she absolutely is.",2
346,HELEN, I can see if there was a weight problem...,2
347,JERRY," No, it’s not that. It wasn’t all one-sided.",2
348,HELEN," You know, you can’t be so particular. Nobody’s perfect.",2
349,JERRY," I know, I know...",2
350,MORTY," Y’know Jerry, it’s a good thing I wasn’t so particular.",2
351,HELEN,"  Idiot.  So who’re you looking for, Sophia Loren?",2
352,JERRY, That’s got nothin’ to do with it.,2
353,MORTY, How about Loni Anderson?,2
354,HELEN, Where do you get Loni Anderson?,2
355,MORTY," Why, what’s wrong with Loni Anderson?",2
356,HELEN, I like Elaine more than Loni Anderson.,2
357,JERRY," What are you two talking about? Look, Elaine just wasn’t the one.",2
358,HELEN, And this other one’s the one?,2
359,JERRY," I dunno, maybe...",2
360,MORTY, So ask Elaine there for her number.,2
361,JERRY," I can’t. She’ll get upset. I never talk about other women with her, especially this one tonight.",2
362,HELEN, How could you still see her if your not interested?,2
363,JERRY, We’re friends.,2
364,MORTY, Doesn’t sound like you’re friends to me. If you were friends you'd-you’d ask her for the number. Do you know where this other one works?,2
365,JERRY, Oh yeah.,2
366,MORTY," Well, go up to the office.",2
367,HELEN, Up to her office?,2
368,MORTY," Go to the building. She goes out to lunch, doesn’t she?",2
369,JERRY, I guess.,2
370,MORTY," So, you stand in the lobby, by the elevator, and wait for her to come down for lunch.",2
371,JERRY, You mean stakeout the lobby?,2
372,HELEN," Morty, that’s ridiculous. Just ask Elaine for the number!",2
373,MORTY, He doesn’t want to ask Elaine for the number.,2
374,HELEN, So you’ve got him standing by the elevator like a dope! What happens when he sees her?,2
375,MORTY, He pretends he bumped into her!,2
376,JERRY, Y’know what? This is not that bad an idea.,2
377,GEORGE, What does she look like?,2
378,JERRY, I dunno. Hard to say.,2
379,GEORGE, What actress does she remind you of?,2
380,JERRY, Loni Anderson.,2
381,GEORGE, Loni Anderson?!,2
382,JERRY," What, there’s something wrong with Loni Anderson?  Hey listen, thanks again for running over here. I appreciate it.",2
383,GEORGE," Yeah, sure. I was showing a condo on 48th street. Besides, you think I wanna miss this? ",2
384,JERRY, I’m a little nervous.,2
385,GEORGE," Yeah, me too...",2
386,JERRY," If I see her, what do I say that I’m doing here in the building?",2
387,GEORGE, You came to see me. I work in the building.,2
388,JERRY, What do you do?,2
389,GEORGE, I’m an architect.,2
390,JERRY, You’re an architect?,2
391,GEORGE, I’m not?,2
392,JERRY, I don’t see architecture comin from you.,2
393,GEORGE,  I suppose you could be an architect.,2
394,JERRY, I never said that I was the architect. Just somethin’ else.,2
395,GEORGE," All right, she’s not even gonna ask, if we see her, which is remote.",2
396,JERRY," Well whaddaya want me to say, that I just wandered in here?",2
397,GEORGE, We’re having lunch with a friend. He works in the building.,2
398,JERRY, What is his name?,2
399,GEORGE, Bert... Har... bin... son. Bert Har-bin-son.,2
400,JERRY, Bert Harbinson? It sounds made up.,2
401,GEORGE," No good? All right, uh how about Art... Cor.....",2
402,JERRY, Art Cor...,2
403,GEORGE, ...velay.,2
404,JERRY, Corvelay?,2
405,GEORGE," Yeah, right.",2
406,JERRY," Well, what does he do?",2
407,GEORGE, He’s an importer.,2
408,JERRY," Just imports, no exports?",2
409,GEORGE,"  He’s an importer/exporter, okay?  Elaine ever call you back?",2
410,JERRY," No, I guess she’s still mad.",2
411,GEORGE," I don’t understand, you never talk to her about other women?",2
412,JERRY, Never.  Wait a second. That’s her. On the right.,2
413,GEORGE,  I forgot who I am! Who am I?!,2
414,JERRY, You’re you. We’re having lunch with Art Corvelay.,2
415,GEORGE, Vandelay!,2
416,JERRY, Corvelay!,2
417,GEORGE, Let me be the architect! I can do it!,2
418,JERRY," Hey, hey. uh Pamela’s birthday party, didn’t I see you there? Jerry.",2
419,VANESSA, Sure! Hi!,2
420,JERRY," Uh, this is George.  I’m sorry...",2
421,VANESSA, Vanessa.,2
422,GEORGE, Nice to meet you.,2
423,JERRY," Ah, Sagman, Bennet, Robbins, Oppenheim and Taft.",2
424,VANESSA," That’s right! Yea, what’re you doing here?",2
425,JERRY," Oh, we’re meeting a friend of ours for lunch. He works here in the building.",2
